Year,Avg gross,Min ISBN,Max ISBN,Avg temp
2012,903636781.0,9780316206815,9781612130293,16.21
2013,912960400.0,9780307588364,9781455520664,14.72
2014,864071820.75,9780307588388,9781101617281,14.49
2015,929065062.25,9780062409850,9781455581177,15.48
2016,947935454.58,9780316408998,9781594634024,15.65
2017,922948960.0,9780316225977,9781455586554,15.86
2018,991013334.25,9780062834881,9781538761373,15.31
2019,946946740.75,9780062834898,9781982110567,15.75
2020,176153900.0,9780062834904,9781984882028,15.77
2021,373567371.08,9780062424037,9781681196282,15.67
2022,614125457.67,9780316258678,9781982181659,15.16
