Month,Avg gross,Book titles,Temp avg,Precip avg
January,788660136.0,"['11/22/63', 'GONE GIRL', 'SYCAMORE ROW', 'GRAY MOUNTAIN', 'ROGUE LAWYER', 'THE WHISTLER', 'ORIGIN', 'THE RECKONING', 'WHERE THE CRAWDADS SING', 'A TIME FOR MERCY', 'CALL US WHAT WE CARRY']",3.07,3.07
February,652113529.27,"['EXTREMELY LOUD AND INCREDIBLY CLOSE', 'SAFE HAVEN', 'THE GOLDFINCH', 'THE GIRL ON THE TRAIN', 'BLUE', 'NEVER NEVER', 'CITY OF ENDLESS NIGHT', 'WHERE THE CRAWDADS SING', 'WHERE THE CRAWDADS SING', 'THE DUKE AND I', 'IT ENDS WITH US']",4.83,4.83
March,747106933.27,"['PRIVATE GAMES', 'SAFE HAVEN', 'PRIVATE L.A.', 'THE GIRL ON THE TRAIN', 'COMETH THE HOUR', 'HEARTBREAK HOTEL', 'THE GREAT ALONE', 'WHERE THE CRAWDADS SING', 'AMERICAN DIRT', 'A COURT OF SILVER FLAMES', 'HOUSE OF SKY AND BREATH']",9.16,9.16
April,666061141.91,"['FIFTY SHADES OF GREY', 'SIX YEARS', 'MISSING YOU', 'THE GIRL ON THE TRAIN', 'PRIVATE PARIS', 'THE SHACK', 'THE RISING SEA', 'WHERE THE CRAWDADS SING', 'THE BOY FROM THE WOODS', 'WIN', 'THE MATCH']",14.59,14.59
May,831490400.64,"['FIFTY SHADES OF GREY', 'WHISKEY BEACH', 'THE COLLECTOR', 'THE LIAR', 'THE OBSESSION', 'THE FIX', 'THE FALLEN', 'REDEMPTION', 'MASKED PREY', 'OCEAN PREY', 'THE INVESTIGATOR']",19.94,19.94
June,965635764.73,"['FIFTY SHADES OF GREY', 'INFERNO', 'UNLUCKY 13', 'THE GIRL ON THE TRAIN', 'ME BEFORE YOU', 'INTO THE WATER', 'THE CAST', 'WHERE THE CRAWDADS SING', 'CAMINO WINDS', 'THE LAST THING HE TOLD ME', 'IN THE BLOOD']",24.63,24.63
July,1057882730.36,"['FIFTY SHADES OF GREY', 'INFERNO', 'TOP SECRET TWENTY-ONE', 'GREY', 'BAY OF SIGHS', 'CAMINO ISLAND', 'THE PRESIDENT IS MISSING', ""SUMMER OF '69"", '28 SUMMERS', ""THE PRESIDENT'S DAUGHTER"", 'THE HOTEL NANTUCKET']",27.4,27.4
August,717039447.36,"['FIFTY SHADES OF GREY', ""THE CUCKOO'S CALLING"", 'THE BOOK OF LIFE', 'GO SET A WATCHMAN', 'THE GIRL ON THE TRAIN', 'THE LATE SHOW', 'THE OTHER WOMAN', 'THE NEW GIRL', 'THE ORDER', 'THE CELLIST', 'WHERE THE CRAWDADS SING']",26.26,26.26
September,518947402.73,"['FIFTY SHADES OF GREY', ""THE CUCKOO'S CALLING"", 'OUTLANDER', 'FRICTION', 'THE GIRL ON THE TRAIN', 'SEEING RED', 'CRAZY RICH ASIANS', 'WHERE THE CRAWDADS SING', 'ROYAL', 'BLOODLESS', 'WHERE THE CRAWDADS SING']",22.89,22.89
October,615037198.91,"['WINTER OF THE WORLD', 'THE LONGEST RIDE', 'EDGE OF ETERNITY', 'THE MARTIAN', 'THE GIRL ON THE TRAIN', 'A COLUMN OF FIRE', 'LETHAL WHITE', 'THE INSTITUTE', 'THE EVENING AND THE MORNING', 'APPLES NEVER FALL', 'WHERE THE CRAWDADS SING']",16.79,16.79
November,837344895.27,"['THE BONE BED', 'JUST ONE EVIL ACT', 'GONE GIRL', 'SEE ME', 'ESCAPE CLAUSE', 'ORIGIN', 'EVERY BREATH', 'THE GUARDIANS', 'A TIME FOR MERCY', ""THE JUDGE'S LIST"", 'IT STARTS WITH US']",9.65,9.65
December,965326182.09,"['THE LAST MAN', 'SYCAMORE ROW', 'CAPTIVATED BY YOU', 'TRICKY TWENTY-TWO', 'TURBO TWENTY-THREE', 'HARDCORE TWENTY-FOUR', 'LOOK ALIVE TWENTY-FIVE', 'TWISTED TWENTY-SIX', 'RHYTHM OF WAR', 'MERCY', 'IT STARTS WITH US']",6.31,6.31
